benchmark,rob,iq,width,inst_count,cycles,ipc
val_trace_perl1,128,64,2,10000,5053,1.98
val_trace_perl1,128,64,4,10000,2609,3.83
val_trace_perl1,128,64,8,10000,1866,5.36
val_trace_perl1,128,128,1,10000,10041,1.0
val_trace_perl1,128,128,2,10000,5053,1.98
val_trace_perl1,128,128,4,10000,2611,3.83
val_trace_perl1,128,128,8,10000,1866,5.36
val_trace_perl1,128,256,1,10000,10041,1.0
val_trace_perl1,128,256,2,10000,5053,1.98
val_trace_perl1,128,256,4,10000,2611,3.83
val_trace_perl1,128,256,8,10000,1866,5.36
val_trace_perl1,256,8,1,10000,10248,0.98
val_trace_perl1,256,8,2,10000,6081,1.64
val_trace_perl1,256,8,4,10000,5045,1.98
val_trace_perl1,256,8,8,10000,7768,1.29
val_trace_perl1,256,16,1,10000,10044,1.0
val_trace_perl1,256,16,2,10000,5335,1.87
val_trace_perl1,256,16,4,10000,3552,2.82
val_trace_perl1,256,16,8,10000,3474,2.88
val_trace_perl1,256,32,1,10000,10041,1.0
val_trace_perl1,256,32,2,10000,5067,1.97
val_trace_perl1,256,32,4,10000,2768,3.61
val_trace_perl1,256,32,8,10000,2117,4.72
val_trace_perl1,256,64,1,10000,10041,1.0
val_trace_perl1,256,64,2,10000,5053,1.98
val_trace_perl1,256,64,4,10000,2582,3.87
val_trace_perl1,256,64,8,10000,1487,6.72
val_trace_perl1,256,128,1,10000,10041,1.0
val_trace_perl1,256,128,2,10000,5053,1.98
val_trace_perl1,256,128,4,10000,2570,3.89
val_trace_perl1,256,128,8,10000,1419,7.05
val_trace_perl1,256,256,1,10000,10041,1.0
val_trace_perl1,256,256,2,10000,5053,1.98
val_trace_perl1,256,256,4,10000,2570,3.89
val_trace_perl1,256,256,8,10000,1418,7.05
val_trace_perl1,512,8,1,10000,10248,0.98
val_trace_perl1,512,8,2,10000,6081,1.64
val_trace_perl1,512,8,4,10000,5045,1.98
val_trace_perl1,512,8,8,10000,7768,1.29
val_trace_perl1,512,16,1,10000,10044,1.0
val_trace_perl1,512,16,2,10000,5335,1.87
val_trace_perl1,512,16,4,10000,3552,2.82
val_trace_perl1,512,16,8,10000,3474,2.88
val_trace_perl1,512,32,1,10000,10041,1.0
val_trace_perl1,512,32,2,10000,5067,1.97
val_trace_perl1,512,32,4,10000,2768,3.61
val_trace_perl1,512,32,8,10000,2117,4.72
val_trace_perl1,512,64,1,10000,10041,1.0
val_trace_perl1,512,64,2,10000,5053,1.98
val_trace_perl1,512,64,4,10000,2582,3.87
val_trace_perl1,512,64,8,10000,1478,6.77
val_trace_perl1,512,128,1,10000,10041,1.0
val_trace_perl1,512,128,2,10000,5053,1.98
val_trace_perl1,512,128,4,10000,2570,3.89
val_trace_perl1,512,128,8,10000,1344,7.44
val_trace_perl1,512,256,1,10000,10041,1.0
val_trace_perl1,512,256,2,10000,5053,1.98
val_trace_perl1,512,256,4,10000,2570,3.89
val_trace_perl1,512,256,8,10000,1325,7.55
